Date,Open,High,Low,Close
12/23/2022,"10,911.04","11,007.09","10,830.90","10,985.45"
12/22/2022,"11,099.36","11,114.23","10,784.02","10,956.14"
12/21/2022,"11,110.65","11,285.78","11,083.36","11,235.88"
12/20/2022,"11,023.47","11,143.62","10,967.07","11,072.42"
12/19/2022,"11,243.00","11,251.57","11,029.77","11,084.59"
12/16/2022,"11,313.64","11,383.39","11,175.54","11,243.72"
12/15/2022,"11,573.38","11,591.33","11,300.35","11,345.22"
12/14/2022,"11,824.54","11,941.28","11,617.41","11,740.92"
12/13/2022,"12,141.24","12,166.41","11,724.91","11,834.21"
12/12/2022,"11,572.26","11,707.71","11,529.41","11,706.44"
12/09/2022,"11,594.38","11,707.09","11,550.31","11,563.33"
12/08/2022,"11,543.68","11,672.14","11,470.68","11,637.50"
12/07/2022,"11,490.99","11,577.69","11,431.96","11,497.39"
12/06/2022,"11,775.21","11,790.93","11,488.60","11,549.69"
12/05/2022,"11,899.54","11,957.36","11,732.15","11,786.80"
12/02/2022,"11,845.53","12,027.62","11,825.53","11,994.26"
12/01/2022,"12,030.24","12,115.34","11,928.66","12,041.89"
11/30/2022,"11,505.74","12,031.34","11,481.89","12,030.06"
11/29/2022,"11,590.30","11,613.33","11,450.34","11,503.45"
11/28/2022,"11,684.07","11,764.83","11,555.26","11,587.75"
11/25/2022,"11,777.33","11,803.91","11,748.79","11,756.03"
11/23/2022,"11,725.08","11,866.42","11,722.01","11,838.72"
11/22/2022,"11,590.83","11,731.76","11,503.34","11,724.84"
11/21/2022,"11,623.35","11,664.94","11,524.44","11,553.45"
11/18/2022,"11,791.85","11,794.68","11,579.64","11,677.02"
11/17/2022,"11,521.64","11,737.61","11,519.38","11,676.86"
11/16/2022,"11,767.42","11,796.99","11,673.14","11,699.09"
11/15/2022,"12,006.45","12,024.95","11,735.40","11,871.15"
11/14/2022,"11,728.11","11,863.82","11,669.10","11,700.94"
11/11/2022,"11,604.36","11,840.07","11,535.56","11,817.01"
11/10/2022,"11,350.42","11,612.20","11,235.74","11,605.96"
11/09/2022,"10,971.43","11,012.66","10,790.35","10,797.55"
11/08/2022,"11,039.58","11,191.90","10,897.53","11,059.50"
11/07/2022,"10,900.84","11,001.16","10,817.59","10,977.00"
11/04/2022,"10,911.99","10,934.62","10,632.39","10,857.03"
11/03/2022,"10,769.43","10,852.18","10,680.83","10,690.60"
